qubits,layers,differentiation,seed,workload,execution_backend,parameters,method,test_loss,trajectory_max_abs_error,parameters_max_abs_error,correctness_within_tolerance
2,1,adjoint,7,iris,torch-cpu,2,Sequential,0.49215917395228437,0.0,0.0,True
2,1,adjoint,7,iris,torch-cpu,2,QuSim-Sed,0.49215917395228437,0.0,0.0,True
