qubits,layers,differentiation,seed,workload,execution_backend,parameters,method,loss_max_abs,parameters_max_abs,expectation_max_abs,gradient_max_abs,loss_max_rel,parameters_max_rel,expectation_max_rel,gradient_max_rel,loss_mean_abs,parameters_mean_abs,expectation_mean_abs,gradient_mean_abs,loss_rmse,parameters_rmse,expectation_rmse,gradient_rmse,all_within_tolerance
2,1,adjoint,7,synthetic,torch-cpu,1,Sequential,1.1102230246251565e-16,2.710505431213761e-20,1.1102230246251565e-16,1.8754848729411474e-19,2.0928151610388567e-16,2.2033882318222733e-16,4.086949998817016e-16,1.8754848729411475e-07,1.1102230246251565e-16,2.710505431213761e-20,1.1102230246251565e-16,1.8754848729411474e-19,1.1102230246251565e-16,2.710505431213761e-20,1.1102230246251565e-16,1.8754848729411474e-19,True
2,1,adjoint,7,synthetic,torch-cpu,1,QuSim-Sed,1.1102230246251565e-16,2.710505431213761e-20,1.1102230246251565e-16,1.8754848729411474e-19,2.0928151610388567e-16,2.2033882318222733e-16,4.086949998817016e-16,1.8754848729411475e-07,1.1102230246251565e-16,2.710505431213761e-20,1.1102230246251565e-16,1.8754848729411474e-19,1.1102230246251565e-16,2.710505431213761e-20,1.1102230246251565e-16,1.8754848729411474e-19,True
