qubits,layers,differentiation,seed,workload,execution_backend,parameters,method,training_seconds,test_loss,test_accuracy,trajectory_max_abs_error,parameters_max_abs_error,correctness_within_tolerance,speedup_vs_sequential,time_saving_percent
2,1,adjoint,7,iris,torch-cpu,2,Sequential,0.07000956102274358,0.49215917395228437,0.5,0.0,0.0,True,1.0,0.0
2,1,adjoint,7,iris,torch-cpu,2,QuSim-Sed,0.059732300927862525,0.49215917395228437,0.5,0.0,0.0,True,1.1720553190692033,14.679795080478142
