qubits,layers,differentiation,seed,workload,execution_backend,parameters,method,training_seconds,test_loss,test_accuracy,trajectory_max_abs_error,parameters_max_abs_error,correctness_within_tolerance,speedup_vs_sequential,time_saving_percent
2,1,adjoint,7,iris,torch-cpu,2,Sequential,0.07082421518862247,0.49215917395228437,0.5,0.0,0.0,True,1.0,0.0
2,1,adjoint,7,iris,torch-cpu,2,QuSim-Sed,0.06052467692643404,0.49215917395228437,0.5,0.0,0.0,True,1.1701708920265237,14.542396600877549
